filename,width,height,class,xmin,ymin,xmax,ymax
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/1.png,1280,720,table,418,373,1122,399
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/2.png,2340,1080,table,484,524,1851,607
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/3.png,2340,1080,table,451,522,1810,603
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/4.png,2340,1080,table,504,528,1842,611
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/5.png,2131,1080,table,485,557,1642,611
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/6.png,2340,1038,table,490,513,1862,584
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/7.png,2340,1080,table,528,536,1821,613
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/8.png,2340,1080,table,520,522,1813,589
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/9.png,2131,1080,table,484,545,1637,613
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/10.png,2131,1080,table,480,545,1637,614
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/11.png,2131,1080,table,479,547,1637,615
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/12.png,2340,1080,table,517,542,1847,608
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/13.png,2340,1080,table,496,536,1837,607
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/14.png,2340,1080,table,497,535,1837,606
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/15.png,2340,1080,table,508,536,1835,614
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/16.png,2131,1080,table,476,540,1655,625
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/17.png,2340,1080,table,581,548,1762,602
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/18.png,2340,1080,table,563,537,1780,595
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/19.png,2340,1080,table,561,534,1780,592
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/20.png,2285,1080,table,414,539,1881,610
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/21.png,2340,1080,table,461,537,1888,620
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/22.png,2204,1038,table,213,482,2021,631
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/23.png,2204,1038,table,213,488,2023,629
